,title,year,certificate,time,genre,rating,metascore,simple_desc,votes
7,"14.
Ghosted
(I) (2023)",(I) (2023),NC16,116 min,"Action, Adventure, Comedy",5.8,34,"Cole falls head over heels for enigmatic Sadie, but then makes the shocking discovery that she's a secret agent. Before they can decide on a second date, Cole and Sadie are swept away on an international adventure to save the world.","Votes:
37,357"
8,"16.
Guardians of the Galaxy Vol. 2
(2017)",(2017),PG13,136 min,"Action, Adventure, Comedy",7.6,67,"The Guardians struggle to keep together as a team while dealing with their personal family issues, notably Star-Lord's encounter with his father, the ambitious celestial being Ego.","Votes:
710,520
| Gross:
$389.81M"
9,"17.
Beau Is Afraid
(2023)",(2023),R,179 min,"Comedy, Drama, Horror",7.2,63,"Following the sudden death of his mother, a mild-mannered but anxiety-ridden man confronts his darkest fears as he embarks on an epic, Kafkaesque odyssey back home.","Votes:
15,362"
10,"23.
Fool's Paradise
(2023)",(2023),R,98 min,Comedy,5.3,27,A fool for love becomes an accidental celebrity only to lose it all.,"Votes:
722"
11,"25.
Ant-Man and the Wasp: Quantumania
(2023)",(2023),PG,124 min,"Action, Adventure, Comedy",6.2,48,"Scott Lang and Hope Van Dyne are dragged into the Quantum Realm, along with Hope's parents and Scott's daughter Cassie. Together they must find a way to escape, but what secrets is Hope's mother hiding? And who is the mysterious Kang?","Votes:
145,150"
12,"26.
BlackBerry
(2023)",(2023),R,120 min,"Biography, Comedy, Drama",7.9,80,The story of the meteoric rise and catastrophic demise of the world's first smartphone.,"Votes:
1,811"
13,"30.
Love Again
(I) (2023)",(I) (2023),PG-13,104 min,"Comedy, Drama, Romance",6.0,34,"A young woman tries to ease the pain of her fiancé's death by sending romantic texts to his old cell phone number, and forms a connection with the man the number has been reassigned to.","Votes:
1,939"
14,"33.
Are You There God? It's Me, Margaret.
(2023)",(2023),PG-13,106 min,"Comedy, Drama, Family",7.9,85,"When her family moves from the city to the suburbs, 11-year-old Margaret navigates new friends, feelings, and the beginning of adolescence.","Votes:
2,918"
15,"38.
Cocaine Bear
(2023)",(2023),M18,95 min,"Comedy, Thriller",6.0,54,"An oddball group of cops, criminals, tourists and teens converge on a Georgia forest where a huge black bear goes on a murderous rampage after unintentionally ingesting cocaine.","Votes:
69,272"
16,"40.
Operation Fortune: Ruse de Guerre
(2023)",(2023),PG13,114 min,"Action, Comedy, Thriller",6.3,51,Special agent Orson Fortune and his team of operatives recruit one of Hollywood's biggest movie stars to help them on an undercover mission when the sale of a deadly new weapons technology threatens to disrupt the world order.,"Votes:
52,790"
17,"42.
Everything Everywhere All at Once
(2022)",(2022),M18,139 min,"Action, Adventure, Comedy",7.8,81,A middle-aged Chinese immigrant is swept up into an insane adventure in which she alone can save existence by exploring other universes and connecting with the lives she could have led.,"Votes:
444,734
| Gross:
$72.86M"
18,"47.
Paint
(2023)",(2023),PG-13,96 min,"Comedy, Drama",5.0,45,"Carl Nargle, Vermont's #1 public television painter, is convinced he has it all: a signature perm, custom van, and fans hanging on his every stroke - until a younger, better artist steals everything (and everyone) Carl loves.","Votes:
1,659"
19,"48.
Book Club: The Next Chapter
(2023)",(2023),PG-13,107 min,Comedy,5.7,45,Follows the new journey of four best friends as they take their book club to Italy for the fun girls trip they never had.,"Votes:
936"
0,"5.
John Wick: Chapter 4
(2023)",(2023),M18,169 min,"Action, Crime, Thriller",8.2,78,"John Wick uncovers a path to defeating The High Table. But before he can earn his freedom, Wick must face off against a new enemy with powerful alliances across the globe and forces that turn old friends into foes.","Votes:
149,700"
1,"7.
Fast X
(2023)",(2023),PG13,141 min,"Action, Adventure, Crime",6.4,55,Dom Toretto and his family are targeted by the vengeful son of drug kingpin Hernan Reyes.,"Votes:
12,746"
2,"16.
Heat
(1995)",(1995),R(A),170 min,"Action, Crime, Drama",8.3,76,A group of high-end professional thieves start to feel the heat from the LAPD when they unknowingly leave a clue at their latest heist.,"Votes:
673,997
| Gross:
$67.44M"
3,"32.
The Godfather
(1972)",(1972),M18,175 min,"Crime, Drama",9.2,100,"Don Vito Corleone, head of a mafia family, decides to hand over his empire to his youngest son Michael. However, his decision unintentionally puts the lives of his loved ones in grave danger.","Votes:
1,906,215
| Gross:
$134.97M"
